incident_number,short_description,category,subcategory,priority,state,opened_at,resolved_at,closed_at,assigned_to,assignment_group,opened_by,contact_type,sla_breach,satisfaction_score
INC1002295,Printer Issue - User request,Printer Issue,General,P3 - Medium,Closed,2024-01-20 07:32:38,2024-01-20 14:13:04,2024-01-20 15:25:04,lisa.taylor,Service Desk L1,Tina.Walsh,Chat,false,3.6
INC1002296,Software Installation - User request,Software Installation,Microsoft Office,P3 - Medium,Closed,2024-01-13 03:18:39,2024-01-13 12:01:41,2024-01-13 12:57:41,john.smith,Network Team,Maria.Zhang,Phone,false,3.3
INC1002297,Hardware Issue - User request,Hardware Issue,Docking Station,P1 - Critical,Closed,2024-01-08 14:28:22,2024-01-08 16:36:20,2024-01-08 17:57:20,john.smith,Service Desk L1,David.Anderson,Phone,true,
INC1002298,Printer Issue - User request,Printer Issue,General,P3 - Medium,Closed,2024-01-14 15:01:34,2024-01-14 17:51:09,2024-01-14 19:22:09,lisa.taylor,Network Team,Olivia.Quinn,Email,false,5.0
INC1002299,Password Reset - User request,Password Reset,Application Password,P2 - High,Closed,2024-01-22 10:32:46,2024-01-22 10:56:36,2024-01-22 12:41:36,david.brown,Service Desk L1,Uma.Young,Phone,false,5.0
INC1002300,Network Connectivity - User request,Network Connectivity,VPN,P3 - Medium,Closed,2024-01-24 08:45:11,2024-01-25 12:54:04,2024-01-25 14:32:04,john.smith,Service Desk L1,Eve.Ingram,Email,true,3.0
INC1002301,Hardware Issue - User request,Hardware Issue,Docking Station,P4 - Low,Closed,2024-01-03 06:55:42,2024-01-08 09:56:29,2024-01-08 10:34:29,mike.wilson,Service Desk L1,Tina.Martin,Email,true,1.6
INC1002302,Password Reset - User request,Password Reset,AD Password,P3 - Medium,Closed,2024-01-03 20:04:53,2024-01-03 20:40:19,2024-01-03 21:34:19,lisa.taylor,Hardware Team,Yuki.Zhang,Phone,false,5.0
INC1002303,Account Unlock - User request,Account Unlock,General,P4 - Low,Closed,2024-01-04 11:25:24,2024-01-06 13:41:22,2024-01-06 14:26:22,james.harris,Hardware Team,David.Evans,Email,false,
INC1002304,Software Installation - User request,Software Installation,Development Tools,P3 - Medium,Closed,2024-01-26 10:14:27,2024-01-26 16:39:26,2024-01-26 17:52:26,anna.clark,Service Desk L1,Carol.O'Brien,Chat,false,5.0
INC1002305,Other - User request,Other,General,P3 - Medium,Closed,2024-01-13 16:21:21,2024-01-14 22:29:54,2024-01-14 23:17:54,james.harris,Security Team,Grace.Upton,Chat,true,2.8
INC1002306,Printer Issue - User request,Printer Issue,General,P4 - Low,Closed,2024-01-01 06:20:55,2024-01-02 13:00:15,2024-01-02 14:54:15,robert.lewis,Network Team,Jack.Walsh,Email,false,3.0
INC1002307,Network Connectivity - User request,Network Connectivity,Firewall,P3 - Medium,Closed,2024-01-23 08:53:47,2024-01-23 16:22:46,2024-01-23 17:07:46,john.smith,Service Desk L1,Leo.Quinn,Phone,false,
INC1002308,Hardware Issue - User request,Hardware Issue,Keyboard/Mouse,P4 - Low,Closed,2024-01-22 08:39:13,2024-01-23 20:18:06,2024-01-23 22:13:06,john.smith,Service Desk L1,Eve.Zhang,Walk-in,false,
INC1002309,Account Unlock - User request,Account Unlock,General,P3 - Medium,Closed,2024-01-01 12:12:56,2024-01-01 13:19:02,2024-01-01 14:12:02,john.smith,Service Desk L2,Eve.Lopez,Email,false,
INC1002310,Password Reset - User request,Password Reset,AD Password,P2 - High,Closed,2024-01-02 07:07:47,2024-01-02 07:51:06,2024-01-02 08:50:06,sarah.jones,Service Desk L1,Eve.Hall,Walk-in,false,5.0
INC1002311,Other - User request,Other,General,P4 - Low,Closed,2024-01-24 22:19:14,2024-01-28 07:06:54,2024-01-28 08:37:54,james.harris,Service Desk L2,Tina.Foster,Self-Service Portal,true,2.0
INC1002312,Hardware Issue - User request,Hardware Issue,Laptop,P3 - Medium,Closed,2024-01-12 14:26:51,2024-01-13 14:59:46,2024-01-13 16:47:46,david.brown,Service Desk L2,Alice.Vance,Walk-in,true,2.6
INC1002313,Account Unlock - User request,Account Unlock,General,P4 - Low,Closed,2024-01-02 15:11:41,2024-01-03 06:37:35,2024-01-03 08:22:35,mike.wilson,Service Desk L1,Olivia.Young,Email,false,3.5
INC1002314,VPN Access - User request,VPN Access,General,P3 - Medium,Closed,2024-01-10 14:00:10,2024-01-10 17:40:38,2024-01-10 18:47:38,lisa.taylor,Service Desk L2,Rachel.Scott,Self-Service Portal,false,3.6
INC1002315,Password Reset - User request,Password Reset,Application Password,P3 - Medium,Closed,2024-01-01 07:41:49,2024-01-01 10:31:57,2024-01-01 10:55:57,sarah.jones,Network Team,Frank.Garcia,Phone,false,4.0
INC1002316,VPN Access - User request,VPN Access,General,P3 - Medium,Closed,2024-01-16 13:51:18,2024-01-17 09:55:53,2024-01-17 11:49:53,sarah.jones,Hardware Team,Eve.Thomas,Phone,false,1.7
INC1002317,Account Unlock - User request,Account Unlock,General,P2 - High,Closed,2024-01-08 10:03:30,2024-01-08 10:54:35,2024-01-08 11:45:35,sarah.jones,Service Desk L1,Xander.Upton,Self-Service Portal,false,3.4
INC1002318,Other - User request,Other,General,P4 - Low,Closed,2024-01-05 15:28:11,2024-01-05 22:05:19,2024-01-05 22:27:19,mike.wilson,Service Desk L1,Bob.Walsh,Chat,false,5.0
INC1002319,Network Connectivity - User request,Network Connectivity,Ethernet,P2 - High,Closed,2024-01-13 12:52:38,2024-01-13 19:46:16,2024-01-13 21:13:16,robert.lewis,Service Desk L2,Rachel.Upton,Self-Service Portal,true,1.0
INC1002320,Other - User request,Other,General,P3 - Medium,Closed,2024-01-16 04:32:07,2024-01-16 15:49:48,2024-01-16 17:42:48,john.smith,Hardware Team,Henry.Quinn,Self-Service Portal,false,
INC1002321,System Performance - User request,System Performance,General,P4 - Low,Closed,2024-01-20 09:23:26,2024-01-22 11:11:49,2024-01-22 11:34:49,david.brown,Service Desk L1,Zara.Anderson,Phone,false,
INC1002322,Password Reset - User request,Password Reset,AD Password,P4 - Low,Reopened,2024-01-10 06:39:43,2024-01-10 15:05:00,,lisa.taylor,Service Desk L1,Eve.Walsh,Email,false,
INC1002323,Password Reset - User request,Password Reset,Application Password,P3 - Medium,Closed,2024-01-18 14:51:31,2024-01-19 00:34:31,2024-01-19 01:40:31,john.smith,Service Desk L2,Victor.Anderson,Email,false,4.4
INC1002324,Email / Outlook - User request,Email / Outlook,Calendar issue,P4 - Low,Closed,2024-01-28 11:20:44,2024-01-29 16:57:20,2024-01-29 17:14:20,mike.wilson,Service Desk L1,Karen.Hall,Phone,false,3.6
INC1002325,Software Installation - User request,Software Installation,Development Tools,P3 - Medium,Closed,2024-01-28 14:24:27,2024-01-28 21:45:54,2024-01-28 22:02:54,david.brown,Service Desk L1,Leo.Lopez,Phone,false,4.3
INC1002326,Software Installation - User request,Software Installation,Business App,P4 - Low,Closed,2024-01-02 10:59:47,2024-01-04 17:35:52,2024-01-04 19:06:52,james.harris,Service Desk L1,Eve.Roberts,Email,false,
INC1002327,Network Connectivity - User request,Network Connectivity,VPN,P4 - Low,Closed,2024-01-12 19:37:09,2024-01-16 03:46:57,2024-01-16 05:15:57,lisa.taylor,Service Desk L2,Bob.Kim,Chat,true,1.9
INC1002328,Password Reset - User request,Password Reset,VPN Password,P4 - Low,Closed,2024-01-22 07:16:55,2024-01-23 00:29:58,2024-01-23 01:17:58,mike.wilson,Security Team,Olivia.Scott,Phone,false,4.3
INC1002329,Email / Outlook - User request,Email / Outlook,Cannot send/receive,P4 - Low,Closed,2024-01-23 11:35:32,2024-01-23 20:53:27,2024-01-23 22:24:27,mike.wilson,Security Team,Yuki.Johnson,Phone,false,
INC1002330,Network Connectivity - User request,Network Connectivity,WiFi,P4 - Low,Closed,2024-01-01 13:55:48,2024-01-02 09:26:53,2024-01-02 10:32:53,lisa.taylor,Security Team,Maria.Roberts,Phone,false,4.4
INC1002331,Network Connectivity - User request,Network Connectivity,Firewall,P3 - Medium,Closed,2024-01-18 14:54:25,2024-01-18 16:22:52,2024-01-18 18:16:52,emma.white,Service Desk L1,Peter.O'Brien,Walk-in,false,
INC1002332,Software Installation - User request,Software Installation,Development Tools,P3 - Medium,Closed,2024-01-10 15:17:58,2024-01-11 01:07:50,2024-01-11 01:30:50,sarah.jones,Network Team,Jack.Chen,Phone,false,3.7
INC1002333,Security Alert - User request,Security Alert,General,P3 - Medium,Closed,2024-01-22 09:35:10,2024-01-22 19:58:06,2024-01-22 20:28:06,emma.white,Network Team,Carol.Baker,Email,false,4.0
INC1002334,Password Reset - User request,Password Reset,Email Password,P4 - Low,Closed,2024-01-04 13:41:29,2024-01-04 19:46:43,2024-01-04 20:56:43,john.smith,Service Desk L2,Xander.Chen,Self-Service Portal,false,
INC1002335,Password Reset - User request,Password Reset,Email Password,P4 - Low,Closed,2024-01-08 08:49:30,2024-01-08 14:47:26,2024-01-08 15:48:26,lisa.taylor,Service Desk L1,Maria.Thomas,Email,false,3.6
INC1002336,Security Alert - User request,Security Alert,General,P3 - Medium,Closed,2024-01-18 10:27:38,2024-01-18 23:05:53,2024-01-18 23:50:53,mike.wilson,Network Team,Grace.Johnson,Email,false,4.1
INC1002337,Account Unlock - User request,Account Unlock,General,P4 - Low,Closed,2024-01-08 12:23:55,2024-01-09 17:00:14,2024-01-09 18:47:14,david.brown,Service Desk L2,Quinn.Garcia,Walk-in,false,4.8
INC1002338,Hardware Issue - User request,Hardware Issue,Desktop,P4 - Low,Closed,2024-01-22 12:58:45,2024-01-25 18:41:40,2024-01-25 19:54:40,david.brown,Service Desk L1,Maria.Upton,Email,true,2.3
INC1002339,Password Reset - User request,Password Reset,AD Password,P4 - Low,Reopened,2024-01-04 15:49:51,2024-01-04 19:03:23,,john.smith,Service Desk L2,Nathan.Kim,Email,false,
INC1002340,Email / Outlook - User request,Email / Outlook,Mailbox full,P2 - High,Closed,2024-01-08 08:10:07,2024-01-08 10:20:18,2024-01-08 11:43:18,john.smith,Network Team,Iris.Evans,Phone,false,4.2
INC1002341,Software Installation - User request,Software Installation,Adobe Suite,P3 - Medium,Closed,2024-01-26 16:33:13,2024-01-26 20:22:36,2024-01-26 20:58:36,david.brown,Service Desk L1,Yuki.Martin,Self-Service Portal,false,3.4
INC1002342,Password Reset - User request,Password Reset,VPN Password,P2 - High,Closed,2024-01-24 07:32:45,2024-01-24 09:01:25,2024-01-24 10:52:25,robert.lewis,Service Desk L1,Eve.Evans,Self-Service Portal,false,3.6
INC1002343,Network Connectivity - User request,Network Connectivity,Ethernet,P4 - Low,Closed,2024-01-18 22:58:39,2024-01-26 17:07:22,2024-01-26 18:49:22,john.smith,Service Desk L1,Iris.Hall,Phone,true,1.0
INC1002344,Password Reset - User request,Password Reset,Application Password,P3 - Medium,Closed,2024-01-01 09:00:53,2024-01-01 14:31:30,2024-01-01 15:34:30,robert.lewis,Service Desk L2,Henry.Hall,Email,false,3.7
INC1002345,Software Installation - User request,Software Installation,Business App,P2 - High,Closed,2024-01-09 11:37:02,2024-01-09 14:55:42,2024-01-09 16:36:42,emma.white,Service Desk L1,Xander.Quinn,Self-Service Portal,false,
INC1002346,Password Reset - User request,Password Reset,Application Password,P2 - High,Closed,2024-01-04 09:40:25,2024-01-04 11:24:55,2024-01-04 13:15:55,james.harris,Network Team,Xander.Walsh,Chat,false,3.1
INC1002347,System Performance - User request,System Performance,General,P3 - Medium,Closed,2024-01-01 10:40:21,2024-01-01 15:13:27,2024-01-01 16:26:27,sarah.jones,Security Team,Uma.Park,Phone,false,4.8
INC1002348,Network Connectivity - User request,Network Connectivity,VPN,P4 - Low,Reopened,2024-01-05 09:51:10,2024-01-05 14:06:45,,emma.white,Service Desk L1,Zara.Garcia,Email,false,
INC1002349,Email / Outlook - User request,Email / Outlook,Mailbox full,P1 - Critical,Closed,2024-01-08 11:54:59,2024-01-08 12:55:26,2024-01-08 13:38:26,john.smith,Network Team,Sam.Scott,Phone,true,3.9
INC1002350,Hardware Issue - User request,Hardware Issue,Keyboard/Mouse,P4 - Low,Closed,2024-01-08 13:08:55,2024-01-11 07:38:51,2024-01-11 09:22:51,john.smith,Security Team,Iris.Nelson,Email,false,3.9
INC1002351,System Performance - User request,System Performance,General,P3 - Medium,Closed,2024-01-10 17:49:14,2024-01-11 18:58:34,2024-01-11 20:14:34,anna.clark,Hardware Team,Rachel.Lopez,Self-Service Portal,true,3.5
INC1002352,Password Reset - User request,Password Reset,Email Password,P4 - Low,Closed,2024-01-15 11:28:49,2024-01-15 12:00:46,2024-01-15 13:22:46,sarah.jones,Service Desk L1,Zara.Foster,Email,false,5.0
INC1002353,Network Connectivity - User request,Network Connectivity,Firewall,P4 - Low,Closed,2024-01-19 08:43:22,2024-01-20 18:25:22,2024-01-20 18:48:22,anna.clark,Service Desk L2,Olivia.O'Brien,Email,false,3.7
INC1002354,Hardware Issue - User request,Hardware Issue,Docking Station,P4 - Low,Closed,2024-01-18 10:22:12,2024-01-19 22:31:27,2024-01-20 00:23:27,emma.white,Service Desk L2,David.Nelson,Self-Service Portal,false,3.0
INC1002355,VPN Access - User request,VPN Access,General,P3 - Medium,Closed,2024-01-26 15:39:08,2024-01-27 05:20:25,2024-01-27 06:51:25,sarah.jones,Service Desk L1,David.Quinn,Self-Service Portal,false,5.0
INC1002356,System Performance - User request,System Performance,General,P2 - High,Closed,2024-01-22 08:40:16,2024-01-22 10:56:40,2024-01-22 11:18:40,john.smith,Service Desk L1,Leo.Ingram,Phone,false,3.6
INC1002357,VPN Access - User request,VPN Access,General,P4 - Low,Closed,2024-01-16 14:58:30,2024-01-16 23:44:38,2024-01-17 01:41:38,emma.white,Hardware Team,Olivia.Scott,Phone,false,3.6
INC1002358,Printer Issue - User request,Printer Issue,General,P3 - Medium,Closed,2024-01-11 16:43:49,2024-01-12 02:31:36,2024-01-12 04:31:36,robert.lewis,Service Desk L1,Sam.Anderson,Self-Service Portal,false,4.4
INC1002359,Email / Outlook - User request,Email / Outlook,Configuration,P4 - Low,Closed,2024-01-01 08:05:10,2024-01-01 14:35:08,2024-01-01 14:59:08,robert.lewis,Service Desk L1,Eve.Zhang,Email,false,5.0
INC1002360,Other - User request,Other,General,P2 - High,Closed,2024-01-17 09:31:43,2024-01-17 11:33:25,2024-01-17 12:33:25,lisa.taylor,Service Desk L1,Quinn.Young,Phone,false,4.2
INC1002361,VPN Access - User request,VPN Access,General,P3 - Medium,Closed,2024-01-22 17:25:42,2024-01-23 10:53:31,2024-01-23 12:26:31,robert.lewis,Service Desk L1,Peter.Scott,Email,false,1.9
INC1002362,Email / Outlook - User request,Email / Outlook,Mailbox full,P2 - High,Closed,2024-01-07 12:52:20,2024-01-07 15:17:06,2024-01-07 17:13:06,robert.lewis,Service Desk L1,Uma.Zhang,Email,false,2.5
INC1002363,Other - User request,Other,General,P1 - Critical,Closed,2024-01-19 06:56:06,2024-01-19 07:25:49,2024-01-19 08:01:49,lisa.taylor,Network Team,Tina.Hall,Self-Service Portal,false,5.0
INC1002364,Security Alert - User request,Security Alert,General,P2 - High,Closed,2024-01-12 16:11:30,2024-01-12 17:37:32,2024-01-12 19:12:32,emma.white,Service Desk L2,Peter.O'Brien,Email,false,
INC1002365,Password Reset - User request,Password Reset,Application Password,P3 - Medium,Reopened,2024-01-24 11:33:12,2024-01-24 17:37:07,,john.smith,Service Desk L1,Grace.O'Brien,Email,false,
INC1002366,Account Unlock - User request,Account Unlock,General,P1 - Critical,Closed,2024-01-01 11:17:34,2024-01-01 11:57:28,2024-01-01 13:38:28,david.brown,Service Desk L2,Carol.Upton,Email,false,3.1
INC1002367,Software Installation - User request,Software Installation,Adobe Suite,P4 - Low,Closed,2024-01-08 11:53:20,2024-01-10 11:16:12,2024-01-10 13:09:12,mike.wilson,Hardware Team,Leo.Roberts,Email,false,2.3
INC1002368,Software Installation - User request,Software Installation,Development Tools,P3 - Medium,Closed,2024-01-27 00:50:54,2024-01-27 03:59:04,2024-01-27 04:22:04,lisa.taylor,Service Desk L1,Yuki.Foster,Email,false,4.8
INC1002369,Hardware Issue - User request,Hardware Issue,Monitor,P4 - Low,Closed,2024-01-22 10:21:32,2024-01-23 10:53:11,2024-01-23 12:13:11,david.brown,Service Desk L1,Sam.Roberts,Email,false,4.0
INC1002370,Other - User request,Other,General,P3 - Medium,Closed,2024-01-26 09:19:45,2024-01-26 21:42:08,2024-01-26 22:34:08,david.brown,Service Desk L2,Rachel.Zhang,Phone,false,3.4
INC1002371,Hardware Issue - User request,Hardware Issue,Docking Station,P4 - Low,Closed,2024-01-10 17:54:29,2024-01-12 22:20:18,2024-01-12 23:19:18,mike.wilson,Hardware Team,Eve.O'Brien,Phone,false,3.8
INC1002372,Other - User request,Other,General,P3 - Medium,Closed,2024-01-04 05:20:16,2024-01-04 22:18:16,2024-01-04 23:25:16,emma.white,Service Desk L1,Wendy.Roberts,Self-Service Portal,false,5.0
INC1002373,Password Reset - User request,Password Reset,Application Password,P3 - Medium,Closed,2024-01-09 08:05:16,2024-01-09 10:37:18,2024-01-09 12:34:18,sarah.jones,Service Desk L2,Iris.Park,Self-Service Portal,false,5.0
INC1002374,Email / Outlook - User request,Email / Outlook,Configuration,P2 - High,Closed,2024-01-05 04:01:01,2024-01-05 06:06:05,2024-01-05 07:14:05,john.smith,Service Desk L1,Eve.Park,Self-Service Portal,false,2.4
INC1002375,VPN Access - User request,VPN Access,General,P3 - Medium,Closed,2024-01-19 00:55:46,2024-01-19 03:21:08,2024-01-19 05:20:08,mike.wilson,Service Desk L1,Peter.Chen,Walk-in,false,5.0
INC1002376,Other - User request,Other,General,P3 - Medium,Pending,2024-01-24 14:58:07,,,james.harris,Service Desk L1,Jack.Martin,Self-Service Portal,false,
INC1002377,Password Reset - User request,Password Reset,Application Password,P4 - Low,Closed,2024-01-22 08:07:31,2024-01-22 22:28:31,2024-01-22 23:23:31,anna.clark,Service Desk L1,Olivia.Lopez,Phone,false,4.8
INC1002378,Password Reset - User request,Password Reset,AD Password,P3 - Medium,Closed,2024-01-15 10:47:26,2024-01-15 13:07:57,2024-01-15 13:46:57,sarah.jones,Service Desk L1,Grace.Lopez,Email,false,4.3
INC1002379,Software Installation - User request,Software Installation,Business App,P3 - Medium,Closed,2024-01-02 07:04:42,2024-01-02 09:59:50,2024-01-02 10:57:50,emma.white,Network Team,Iris.Lopez,Email,false,
INC1002380,VPN Access - User request,VPN Access,General,P4 - Low,In Progress,2024-01-04 09:09:49,,,david.brown,Service Desk L1,Eve.Davis,Self-Service Portal,false,
INC1002381,Printer Issue - User request,Printer Issue,General,P3 - Medium,Closed,2024-01-15 10:31:38,2024-01-15 13:58:14,2024-01-15 14:55:14,mike.wilson,Hardware Team,Zara.Ingram,Email,false,4.4
INC1002382,Software Installation - User request,Software Installation,Adobe Suite,P3 - Medium,Closed,2024-01-01 02:55:24,2024-01-01 11:07:59,2024-01-01 11:26:59,sarah.jones,Service Desk L2,Carol.O'Brien,Email,false,4.0
INC1002383,Security Alert - User request,Security Alert,General,P1 - Critical,Closed,2024-01-04 09:30:01,2024-01-04 10:17:47,2024-01-04 11:03:47,david.brown,Service Desk L1,Eve.Walsh,Phone,false,3.0
INC1002384,Printer Issue - User request,Printer Issue,General,P3 - Medium,Closed,2024-01-12 16:21:03,2024-01-13 02:49:21,2024-01-13 03:33:21,sarah.jones,Service Desk L1,Xander.Johnson,Email,false,4.1
INC1002385,Security Alert - User request,Security Alert,General,P3 - Medium,Closed,2024-01-15 13:03:13,2024-01-16 08:07:56,2024-01-16 08:52:56,john.smith,Service Desk L1,Quinn.Johnson,Email,false,2.8
INC1002386,VPN Access - User request,VPN Access,General,P2 - High,Closed,2024-01-16 11:19:09,2024-01-16 12:24:39,2024-01-16 14:07:39,mike.wilson,Hardware Team,Tina.Garcia,Email,false,
INC1002387,Password Reset - User request,Password Reset,Application Password,P3 - Medium,Closed,2024-01-22 13:19:39,2024-01-22 14:25:41,2024-01-22 15:04:41,john.smith,Service Desk L1,Xander.Walsh,Phone,false,5.0
INC1002388,Password Reset - User request,Password Reset,Application Password,P2 - High,Closed,2024-01-22 09:14:07,2024-01-22 09:23:56,2024-01-22 10:07:56,lisa.taylor,Service Desk L1,Uma.Nelson,Phone,false,5.0
INC1002389,Password Reset - User request,Password Reset,Application Password,P3 - Medium,Closed,2024-01-26 08:34:22,2024-01-26 12:04:12,2024-01-26 13:38:12,robert.lewis,Service Desk L1,Yuki.Quinn,Self-Service Portal,false,4.6
INC1002390,Other - User request,Other,General,P3 - Medium,Closed,2024-01-07 17:42:49,2024-01-08 10:39:40,2024-01-08 12:24:40,anna.clark,Service Desk L2,Wendy.Lopez,Email,false,3.5
INC1002391,Other - User request,Other,General,P4 - Low,Closed,2024-01-02 05:59:19,2024-01-03 07:42:17,2024-01-03 08:10:17,lisa.taylor,Service Desk L2,Sam.O'Brien,Email,false,
INC1002392,Security Alert - User request,Security Alert,General,P3 - Medium,Reopened,2024-01-12 16:32:13,2024-01-12 22:16:28,,david.brown,Service Desk L1,Tina.Anderson,Email,false,
INC1002393,Software Installation - User request,Software Installation,Microsoft Office,P4 - Low,Closed,2024-01-09 16:56:35,2024-01-14 17:16:02,2024-01-14 17:41:02,david.brown,Service Desk L1,Karen.O'Brien,Email,true,
INC1002394,Software Installation - User request,Software Installation,Microsoft Office,P1 - Critical,Closed,2024-01-05 17:15:51,2024-01-05 18:40:13,2024-01-05 20:37:13,james.harris,Hardware Team,Grace.Young,Phone,true,
INC1002395,Printer Issue - User request,Printer Issue,General,P4 - Low,Reopened,2024-01-26 14:46:29,2024-01-28 03:22:46,,lisa.taylor,Service Desk L1,David.Evans,Chat,false,
INC1002396,Software Installation - User request,Software Installation,Business App,P3 - Medium,Reopened,2024-01-05 19:36:37,2024-01-06 01:06:58,,mike.wilson,Service Desk L1,Uma.Roberts,Self-Service Portal,false,
INC1002397,System Performance - User request,System Performance,General,P3 - Medium,Closed,2024-01-09 13:17:12,2024-01-09 21:44:46,2024-01-09 23:17:46,sarah.jones,Security Team,Rachel.Johnson,Self-Service Portal,false,3.9
INC1002398,Password Reset - User request,Password Reset,VPN Password,P1 - Critical,Closed,2024-01-22 11:24:43,2024-01-22 11:33:56,2024-01-22 13:21:56,lisa.taylor,Service Desk L1,Olivia.Park,Chat,false,5.0
INC1002399,Software Installation - User request,Software Installation,Adobe Suite,P1 - Critical,Closed,2024-01-01 16:35:12,2024-01-01 17:02:07,2024-01-01 18:23:07,sarah.jones,Hardware Team,Grace.Walsh,Walk-in,false,3.9
INC1002400,Software Installation - User request,Software Installation,Business App,P3 - Medium,Closed,2024-01-12 21:33:26,2024-01-13 15:46:31,2024-01-13 17:40:31,anna.clark,Service Desk L1,Uma.Scott,Walk-in,false,
INC1002401,Password Reset - User request,Password Reset,Email Password,P4 - Low,Closed,2024-01-15 09:07:14,2024-01-16 02:54:22,2024-01-16 04:42:22,anna.clark,Security Team,Uma.Evans,Chat,false,4.1
INC1002402,Password Reset - User request,Password Reset,VPN Password,P3 - Medium,Closed,2024-01-13 20:03:12,2024-01-14 00:22:29,2024-01-14 01:22:29,sarah.jones,Network Team,Maria.Nelson,Phone,false,5.0
INC1002403,Email / Outlook - User request,Email / Outlook,Configuration,P3 - Medium,Closed,2024-01-11 10:21:32,2024-01-11 20:33:06,2024-01-11 21:29:06,john.smith,Service Desk L2,Peter.Park,Email,false,
INC1002404,Password Reset - User request,Password Reset,AD Password,P3 - Medium,Closed,2024-01-19 14:09:34,2024-01-19 16:35:04,2024-01-19 17:41:04,david.brown,Network Team,Xander.Davis,Phone,false,
INC1002405,Hardware Issue - User request,Hardware Issue,Keyboard/Mouse,P3 - Medium,Closed,2024-01-22 11:48:22,2024-01-22 21:00:50,2024-01-22 21:19:50,john.smith,Hardware Team,Tina.Anderson,Email,false,4.8
INC1002406,Hardware Issue - User request,Hardware Issue,Docking Station,P3 - Medium,Closed,2024-01-19 07:32:15,2024-01-19 19:28:32,2024-01-19 20:25:32,lisa.taylor,Service Desk L2,Maria.Baker,Phone,false,
INC1002407,Software Installation - User request,Software Installation,Adobe Suite,P3 - Medium,Closed,2024-01-24 21:52:23,2024-01-25 03:40:12,2024-01-25 04:33:12,lisa.taylor,Service Desk L2,Zara.Johnson,Email,false,4.4
INC1002408,VPN Access - User request,VPN Access,General,P3 - Medium,Closed,2024-01-23 18:48:21,2024-01-24 05:14:16,2024-01-24 06:19:16,lisa.taylor,Service Desk L2,Grace.Evans,Email,false,4.6
INC1002409,Password Reset - User request,Password Reset,Email Password,P3 - Medium,Closed,2024-01-01 21:25:39,2024-01-02 17:06:12,2024-01-02 18:46:12,robert.lewis,Service Desk L1,Yuki.Ingram,Phone,false,4.1
INC1002410,Password Reset - User request,Password Reset,VPN Password,P3 - Medium,Closed,2024-01-15 11:44:38,2024-01-15 13:32:46,2024-01-15 14:26:46,james.harris,Security Team,Quinn.Vance,Email,false,
INC1002411,Software Installation - User request,Software Installation,Business App,P2 - High,Closed,2024-01-12 13:01:35,2024-01-12 15:57:32,2024-01-12 17:24:32,david.brown,Security Team,Rachel.Upton,Chat,false,3.4
INC1002412,Software Installation - User request,Software Installation,Business App,P4 - Low,Closed,2024-01-25 17:25:49,2024-01-26 00:05:10,2024-01-26 00:26:10,lisa.taylor,Service Desk L2,Karen.Ingram,Phone,false,
INC1002413,VPN Access - User request,VPN Access,General,P3 - Medium,Closed,2024-01-26 09:47:41,2024-01-26 18:35:47,2024-01-26 19:40:47,james.harris,Network Team,Henry.Johnson,Phone,false,5.0
INC1002414,Email / Outlook - User request,Email / Outlook,Cannot send/receive,P3 - Medium,Closed,2024-01-08 14:02:45,2024-01-08 21:32:57,2024-01-08 22:13:57,john.smith,Service Desk L1,Nathan.Foster,Self-Service Portal,false,3.8
INC1002415,System Performance - User request,System Performance,General,P3 - Medium,Closed,2024-01-24 14:58:19,2024-01-24 17:41:37,2024-01-24 18:31:37,mike.wilson,Security Team,Quinn.Kim,Email,false,2.4
INC1002416,Network Connectivity - User request,Network Connectivity,Firewall,P3 - Medium,Closed,2024-01-26 21:28:33,2024-01-27 02:41:22,2024-01-27 04:14:22,david.brown,Service Desk L1,Henry.Zhang,Email,false,
INC1002417,Network Connectivity - User request,Network Connectivity,WiFi,P4 - Low,Closed,2024-01-27 22:40:23,2024-01-29 15:00:35,2024-01-29 15:40:35,robert.lewis,Service Desk L2,Jack.Martin,Email,false,2.7
INC1002418,Printer Issue - User request,Printer Issue,General,P3 - Medium,Closed,2024-01-04 09:26:21,2024-01-04 14:03:42,2024-01-04 15:48:42,sarah.jones,Network Team,Jack.Young,Phone,false,4.8
INC1002419,Password Reset - User request,Password Reset,Email Password,P4 - Low,Closed,2024-01-22 10:36:35,2024-01-23 00:54:14,2024-01-23 02:41:14,lisa.taylor,Service Desk L1,Carol.Foster,Self-Service Portal,false,
INC1002420,Email / Outlook - User request,Email / Outlook,Calendar issue,P2 - High,Closed,2024-01-11 12:56:01,2024-01-11 21:54:42,2024-01-11 22:46:42,john.smith,Service Desk L1,Nathan.Scott,Walk-in,true,1.0
INC1002421,Hardware Issue - User request,Hardware Issue,Keyboard/Mouse,P3 - Medium,Pending,2024-01-09 12:09:49,,,john.smith,Service Desk L1,Wendy.Martin,Phone,false,
INC1002422,Password Reset - User request,Password Reset,VPN Password,P2 - High,Closed,2024-01-04 08:43:26,2024-01-04 09:08:59,2024-01-04 10:03:59,anna.clark,Service Desk L1,Henry.Chen,Self-Service Portal,false,3.8
INC1002423,Account Unlock - User request,Account Unlock,General,P3 - Medium,Pending,2024-01-16 14:33:37,,,anna.clark,Service Desk L2,Eve.Xu,Self-Service Portal,false,
